party	vote
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	no
Dem	yes
Dem	yes
Dem	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
Rep	yes
